Timestamp,Berapa lama anda bermain game Esports setiap harinya,Apakah anda memakai nickname (bukan nama asli) saat bermain game e-sport?,Seberapa sering anda menjumpai perilaku Cyberbullying,Seberapa sering anda menjumpai cheater,Seberapa sering anda menjumpai perilaku griefing,Seberapa sering anda menjumpai perilaku Mischief,Seberapa sering anda melakukan perilaku Cyberbullying,Seberapa sering anda melakukan cheating,Seberapa sering anda melakukan perilaku griefing,Seberapa sering anda melakukan perilaku Mischief,Orang yang berkomunikasi dengan saya adalah anonim  dalam game esports,Saya merasa anonim ketika berkomunikasi dengan orang dalam game esports,"Ketika bermain game esports, Saya yakin orang lain tidak tahu identitas saya"
25/09/2023 23:19:49,<1 Jam,Tidak,5,5,1,5,5,5,5,1,5,5,5
26/09/2023 01:29:26,1-3 Jam,Tidak,5,5,5,5,5,5,5,5,5,5,5
26/09/2023 05:19:50,1-3 Jam,Ya,5,3,4,3,2,1,2,3,4,3,3
26/09/2023 09:05:43,<1 Jam,Ya,1,2,2,4,1,1,1,5,5,4,4
26/09/2023 10:28:34,<1 Jam,Ya,3,2,4,4,1,1,1,1,5,5,5
26/09/2023 11:06:25,1-3 Jam,Ya,3,3,3,3,3,3,3,3,1,1,3
27/09/2023 07:29:32,1-3 Jam,Ya,5,3,4,5,4,1,4,5,4,5,4
27/09/2023 07:34:31,1-3 Jam,Tidak,3,2,2,3,1,1,1,2,5,4,5
27/09/2023 07:47:08,<1 Jam,Ya,2,3,1,3,1,1,1,1,3,3,4
27/09/2023 07:50:20,1-3 Jam,Ya,4,4,5,5,4,1,5,5,5,4,4
27/09/2023 07:51:32,<1 Jam,Ya,3,2,2,2,1,1,1,2,4,5,4
27/09/2023 07:55:05,1-3 Jam,Ya,3,3,2,2,1,2,1,1,4,4,5
27/09/2023 08:01:01,<1 Jam,Ya,2,3,2,2,1,3,2,2,4,4,3
27/09/2023 08:40:15,1-3 Jam,Ya,5,2,4,3,2,3,2,3,3,4,4
27/09/2023 09:49:12,<1 Jam,Ya,5,3,2,2,3,1,1,1,3,4,4
27/09/2023 12:21:08,<1 Jam,Ya,4,2,3,3,1,1,2,2,3,3,3
27/09/2023 14:08:45,1-3 Jam,Ya,5,3,4,4,3,1,3,2,5,5,4
28/09/2023 12:12:45,<1 Jam,Ya,1,2,3,3,1,1,1,3,4,4,5
28/09/2023 12:18:40,1-3 Jam,Tidak,5,3,3,4,1,1,3,3,4,5,4
28/09/2023 12:55:06,<1 Jam,Ya,3,4,3,4,2,4,3,2,4,5,4
28/09/2023 12:56:57,>3 Jam,Ya,5,5,5,5,3,2,2,2,5,5,5
28/09/2023 12:57:27,<1 Jam,Ya,5,3,3,3,2,1,1,1,4,4,4
28/09/2023 12:57:34,1-3 Jam,Ya,2,2,4,3,1,1,2,2,2,5,3
28/09/2023 12:59:55,<1 Jam,Ya,5,2,3,4,1,2,1,1,5,5,5
28/09/2023 13:06:26,1-3 Jam,Ya,4,3,5,4,3,1,4,3,5,3,4
28/09/2023 13:08:55,<1 Jam,Ya,3,3,4,4,2,2,2,2,5,5,5
28/09/2023 13:09:03,<1 Jam,Ya,3,3,3,3,1,1,1,1,5,5,5
28/09/2023 14:00:01,1-3 Jam,Ya,4,3,4,5,1,1,2,3,4,5,5
28/09/2023 14:04:51,<1 Jam,Ya,4,4,4,4,4,4,4,4,4,4,4
28/09/2023 15:30:55,<1 Jam,Ya,3,2,3,4,1,1,2,1,3,3,4
28/09/2023 16:06:30,>3 Jam,Tidak,4,3,4,3,3,1,2,5,5,4,5
28/09/2023 16:20:44,1-3 Jam,Tidak,2,3,4,2,2,1,1,1,4,4,3
28/09/2023 16:38:18,1-3 Jam,Ya,5,2,4,4,3,1,2,4,5,5,5
28/09/2023 16:49:29,1-3 Jam,Ya,3,5,4,3,3,3,3,3,5,5,5
28/09/2023 16:51:43,1-3 Jam,Tidak,5,5,5,5,1,1,4,3,5,5,4
28/09/2023 16:54:10,1-3 Jam,Ya,5,3,4,4,5,2,5,5,5,5,5
28/09/2023 16:55:54,<1 Jam,Ya,3,3,2,3,3,1,2,3,2,4,4
28/09/2023 17:12:39,<1 Jam,Ya,2,2,5,2,2,1,2,2,5,5,5
28/09/2023 17:18:42,>3 Jam,Ya,4,4,5,4,2,1,2,4,5,5,5
28/09/2023 17:23:13,1-3 Jam,Ya,5,5,1,2,1,1,1,1,4,5,5
28/09/2023 17:36:41,1-3 Jam,Ya,4,2,4,4,3,2,4,4,1,3,4
28/09/2023 17:37:23,>3 Jam,Ya,4,3,5,5,2,2,3,2,5,5,5
28/09/2023 17:59:38,<1 Jam,Ya,5,3,5,5,5,1,1,1,5,3,4
28/09/2023 19:36:18,>3 Jam,Ya,5,2,5,5,4,1,3,5,3,2,4
28/09/2023 19:44:28,1-3 Jam,Tidak,1,3,3,3,3,1,2,2,4,4,4
28/09/2023 20:01:05,>3 Jam,Ya,3,4,3,5,1,1,2,1,3,3,4
28/09/2023 20:47:53,1-3 Jam,Ya,4,4,4,4,2,2,2,2,4,3,4
28/09/2023 21:31:15,1-3 Jam,Ya,5,2,5,5,2,1,1,1,4,4,4
29/09/2023 00:32:11,<1 Jam,Ya,5,5,5,5,1,1,1,1,5,5,4